DAY	1996	Difference (1996)	St (1996)	1997	Difference (1997)	St (1997)	1998	Difference(1998)	St (1998)	1999	Difference(1999)	St (1999)	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	Average		
30-Sep	64	-19.71544715	312.1788618	86	4.325203252	338.9186992	75	-9.260162602	238.0650407	71			75	71	79	71	80	82	75	79	86	74	76	78	72	77	84	85			7986
1-Oct	66	-17.71544715	294.4634146	75	-6.674796748	332.2439024	86	1.739837398	239.804878	73			77	75	82	72	82	83	83	80	74	76	79	65	75	82	86	71			8057
2-Oct	72	-11.71544715	282.7479675	73	-8.674796748	323.5691057	78	-6.260162602	233.5447154	75			79	80	84	68	82	85	81	82	74	75	78	68	72	82	85	66			8123
3-Oct	84	0.284552846	283.0325203	75	-6.674796748	316.8943089	77	-7.260162602	226.2845528	84			82	81	84	66	80	83	82	77	80	76	68	75	74	82	78	66			8189
4-Oct	70	-13.71544715	269.3170732	78	-3.674796748	313.2195122	82	-2.260162602	224.0243902	71			81	80	82	77	81	85	84	80	83	74	67	80	82	85	65	70			8259
5-Oct	66	-17.71544715	251.601626	81	-0.674796748	312.5447154	82	-2.260162602	221.7642276	73			82	79	87	78	80	81	86	81	83	62	70	83	82	84	71	73			8332
6-Oct	64	-19.71544715	231.8861789	82	0.325203252	312.8699187	73	-11.2601626	210.504065	71			73	70	86	75	75	72	76	82	82	71	73	81	83	84	78	76			8408
7-Oct	60	-23.71544715	208.1707317	82	0.325203252	313.195122	82	-2.260162602	208.2439024	73			66	68	80	73	75	72	72	83	82	79	81	79	68	74	82	81			8489
8-Oct	78	-5.715447154	202.4552846	82	0.325203252	313.5203252	69	-15.2601626	192.9837398	73			55	79	71	73	73	73	72	83	72	80	82	78	63	72	86	82			8571
9-Oct	70	-13.71544715	188.7398374	80	-1.674796748	311.8455285	72	-12.2601626	180.7235772	72			55	66	66	73	71	70	79	81	75	85	85	72	70	76	86	81			8652
10-Oct	72	-11.71544715	177.0243902	82	0.325203252	312.1707317	73	-11.2601626	169.4634146	72			64	73	70	73	71	77	80	81	77	74	86	68	73	80	86	71			8723
11-Oct	69	-14.71544715	162.3089431	82	0.325203252	312.495935	78	-6.260162602	163.203252	73			71	75	78	66	77	82	80	67	78	77	86	65	75	79	86	73			8796
12-Oct	69	-14.71544715	147.5934959	79	-2.674796748	309.8211382	78	-6.260162602	156.9430894	70			73	78	84	78	73	74	71	72	77	66	80	73	79	81	85	76			8872
13-Oct	73	-10.71544715	136.8780488	80	-1.674796748	308.1463415	78	-6.260162602	150.6829268	64			75	78	79	78	64	77	62	74	77	73	80	74	75	82	85	81			8953
14-Oct	79	-4.715447154	132.1626016	68	-13.67479675	294.4715447	75	-9.260162602	141.4227642	75			75	75	68	78	63	78	69	78	80	66	73	77	77	77	75	78			9031
15-Oct	81	-2.715447154	129.4471545	63	-18.67479675	275.796748	79	-5.260162602	136.1626016	73			77	75	57	69	62	79	70	78	81	61	78	80	77	68	69	81			9112
16-Oct	80	-3.715447154	125.7317073	57	-24.67479675	251.1219512	78	-6.260162602	129.902439	77			80	62	66	72	71	76	59	76	83	61	76	84	74	74	70	77			9189
17-Oct	82	-1.715447154	124.0162602	66	-15.67479675	235.4471545	77	-7.260162602	122.6422764	80			80	60	64	68	75	75	71	82	69	51	80	85	75	72	80	70			9259
18-Oct	66	-17.71544715	106.300813	64	-17.67479675	217.7723577	78	-6.260162602	116.3821138	71			80	64	68	70	73	81	77	77	67	55	78	80	74	73	76	66			9325
19-Oct	63	-20.71544715	85.58536585	69	-12.67479675	205.097561	82	-2.260162602	114.1219512	66			73	71	71	75	68	83	76	76	65	61	82	67	73	63	73	64			9389
20-Oct	68	-15.71544715	69.8699187	70	-11.67479675	193.4227642	75	-9.260162602	104.8617886	60			73	75	73	78	71	83	69	75	66	68	77	59	71	70	73	71			9460
21-Oct	79	-4.715447154	65.15447154	70	-11.67479675	181.7479675	73	-11.2601626	93.60162602	64			75	79	71	84	73	80	69	78	72	71	80	63	76	72	77	76			9536
22-Oct	81	-2.715447154	62.43902439	62	-19.67479675	162.0731707	63	-21.2601626	72.34146341	73			79	80	64	78	73	67	70	72	68	74	78	68	79	69	70	79			9615
23-Oct	69	-14.71544715	47.72357724	63	-18.67479675	143.398374	63	-21.2601626	51.08130081	57			75	81	59	78	70	70	53	81	62	72	76	70	78	63	72	81			9696
24-Oct	73	-10.71544715	37.00813008	62	-19.67479675	123.7235772	72	-12.2601626	38.82113821	59			75	79	68	73	73	56	56	59	54	69	81	73	79	66	74	76			9772
25-Oct	73	-10.71544715	26.29268293	75	-6.674796748	117.0487805	75	-9.260162602	29.56097561	64			78	73	60	73	78	54	55	61	67	65	76	76	80	56	77	71			9843
26-Oct	75	-8.715447154	17.57723577	71	-10.67479675	106.3739837	79	-5.260162602	24.30081301	69			75	64	68	68	79	61	62	68	70	65	85	77	80	61	84	67			9910
27-Oct	75	-8.715447154	8.861788618	57	-24.67479675	81.69918699	79	-5.260162602	19.04065041	75			78	51	69	64	81	63	66	67	59	60	76	79	70	69	84	56			9966
28-Oct	81	-2.715447154	6.146341463	55	-26.67479675	55.02439024	79	-5.260162602	13.7804878	73			80	55	75	57	78	62	63	70	50	71	74	74	56	64	77	78			10044
29-Oct	82	-1.715447154	4.430894309	64	-17.67479675	37.3495935	78	-6.260162602	7.520325203	72			75	63	75	70	75	64	72	62	59	75	68	59	56	75	73	70			10114
30-Oct	82	-1.715447154	2.715447154	66	-15.67479675	21.67479675	82	-2.260162602	5.260162602	75			77	72	68	77	78	69	73	67	65	66	71	61	56	78	68	70			10184
31-Oct	81	-2.715447154	0	60	-21.67479675	0	79	-5.260162602	6.39488E-13	75			78	71	60	75	82	70	68	71	67	69	75	65	65	74	63	62			10246
	83.71544715			81.67479675			84.2601626			83.35772358			84.03252033	81.55284553	83.58536585	81.4796748	81.76422764	83.35772358	83.04878049	85.39837398	82.51219512	80.99186992	87.21138211	85.27642276	84.6504065	81.66666667	83.94308943	83.30081301			
